Ref,Val,Package,PosX,PosY,Rot,Side
"C1","1 uF","C_1206_3216Metric",124.000000,-57.500000,-90.000000,top
"C2","470uF 35V","CP_Radial_D10.0mm_P5.00mm",118.367677,-61.000000,180.000000,top
"C3","330uF 50V","CP_Elec_10x10.5",137.600000,-72.800000,0.000000,top
"D1","1N5822","D_SMA",117.100000,-70.000000,180.000000,top
"D5","Red Indicator LED","LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder",153.400000,-60.200000,-90.000000,top
"D9","Red Power LED","LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder",136.000000,-61.300000,90.000000,top
"D11","LED_BGAR","LED_D5.0mm-4_RGB",126.070000,-37.200000,180.000000,top
"J2","Barrel_Jack_MountingPin","BarrelJack_Horizontal",122.700000,-49.200000,0.000000,top
"J4","Barrel_Jack_MountingPin","BarrelJack_Horizontal",172.700000,-64.757500,180.000000,top
"J5","Barrel_Jack_MountingPin","BarrelJack_Horizontal",172.700000,-51.300000,180.000000,top
"J6","Conn_01x03_Pin","PinHeader_1x03_P2.54mm_Vertical",175.140000,-36.600000,-90.000000,top
"L1","47uH / 2A","CD43",126.100000,-73.800000,0.000000,top
"Q1","IRLML2502TRPBF","custom_SOT23",166.100000,-64.800000,180.000000,top
"Q2","IRLML2502TRPBF","custom_SOT23",180.900000,-41.500000,-90.000000,top
"Q3","Si2302DS","custom_SOT23",140.600000,-43.550000,0.000000,top
"Q4","Si2302DS","SOT-23",136.200000,-50.150000,90.000000,top
"Q5","Si2302DS","SOT-23",130.800000,-50.050000,90.000000,top
"R1","820 Ohm","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",132.100000,-63.500000,-90.000000,top
"R2","100 Ohm","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",169.600000,-45.400000,90.000000,top
"R3","10k Ohm","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",167.400000,-51.000000,-90.000000,top
"R4","820 Ohm","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",156.900000,-60.100000,90.000000,top
"R5","100 Ohm","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",171.900000,-41.400000,180.000000,top
"R6","10k Ohm","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",176.400000,-41.500000,-90.000000,top
"R7","10k Ohm","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",141.100000,-63.800000,-90.000000,top
"R8","10k Ohm","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",159.700000,-65.600000,-90.000000,top
"R9","300 Ohm","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",136.100000,-43.650000,-90.000000,top
"R10","220 Ohm","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",141.450000,-48.650000,0.000000,top
"R11","220 Ohm","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",137.300000,-55.250000,0.000000,top
"R12","220 Ohm","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",130.100000,-55.100000,0.000000,top
"R13","680 Ohm","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",140.800000,-37.150000,-90.000000,top
"R14","300 Ohm","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",136.000000,-37.150000,-90.000000,top
"R15","300 Ohm","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",131.600000,-37.250000,-90.000000,top
"R16","10k Ohm","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",140.700000,-52.000000,0.000000,top
"R17","10k Ohm","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",139.700000,-58.600000,0.000000,top
"R18","10k Ohm","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",131.200000,-58.500000,0.000000,top
"R19","300 Ohm","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",131.600000,-43.850000,-90.000000,top
"SW1","SW_Push","TS_button_3_4_2",147.900000,-59.900000,180.000000,top
"SW2","SW_Push","TS_button_3_4_2",162.000000,-59.700000,180.000000,top
"U1","ESP32-WROOM-32","ESP32-WROOM-32",155.655000,-45.810000,0.000000,top
"U2","XL1509-3.3","SOIC-8_3.9x4.9mm_P1.27mm",126.000000,-65.000000,90.000000,top
