Ref,Val,Package,PosX,PosY,Rot,Side
"J2","Barrel_Jack_MountingPin","BarrelJack_Horizontal",46.500000,-42.000000,180.000000,bottom
"C1","100uF","C_Elec_8x10.2",41.000000,-52.500000,-90.000000,top
"C2","100nF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",39.000000,-43.500000,90.000000,top
"C3","220uF","C_Elec_8x10.2",9.000000,-36.500000,180.000000,top
"C4","100nF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",9.500000,-44.000000,180.000000,top
"D2","SS34","D_SMA_Handsoldering",31.000000,-52.500000,-90.000000,top
"D5","Blue Indicator LED","LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder",17.801181,-28.595000,0.000000,top
"D9","Red Power LED","LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder",39.000000,-31.000000,90.000000,top
"H1","MountingHole_Pad","MountingHole_3.2mm_M3_Pad_Via",5.000000,-56.000000,0.000000,top
"H2","MountingHole_Pad","MountingHole_3.2mm_M3_Pad_Via",5.000000,-3.500000,0.000000,top
"H3","MountingHole_Pad","MountingHole_3.2mm_M3_Pad_Via",55.000000,-56.000000,0.000000,top
"H4","MountingHole_Pad","MountingHole_3.2mm_M3_Pad_Via",55.000000,-3.500000,0.000000,top
"J6","Conn_01x03_Pin","PinHeader_1x03_P2.54mm_Vertical",41.801181,-3.500000,-90.000000,top
"J7","Screw_Terminal_01x02","JST_NV_B02P-NV_1x02_P5.00mm_Vertical",54.550000,-13.000000,-90.000000,top
"J8","Screw_Terminal_01x02","JST_NV_B02P-NV_1x02_P5.00mm_Vertical",54.550000,-28.000000,-90.000000,top
"L1","47uH","L_Bourns_SRR1208_12.7x12.7mm",19.500000,-48.000000,180.000000,top
"Q1","IRLML2502TRPBF","custom_SOT23",44.000000,-22.000000,-90.000000,top
"Q2","IRLML2502TRPBF","custom_SOT23",44.000000,-15.000000,-90.000000,top
"R1","820 Ohm","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",34.500000,-30.500000,180.000000,top
"R2","100 Ohm","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",35.000000,-20.000000,90.000000,top
"R3","10k Ohm","R_1210_3225Metric_Pad1.30x2.65mm_HandSolder",39.000000,-20.500000,90.000000,top
"R4","820 Ohm","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",23.301181,-28.595000,0.000000,top
"R5","100 Ohm","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",36.000000,-14.500000,-90.000000,top
"R6","10k Ohm","R_1210_3225Metric_Pad1.30x2.65mm_HandSolder",39.500000,-14.000000,-90.000000,top
"R7","10k Ohm","R_1210_3225Metric_Pad1.30x2.65mm_HandSolder",9.000000,-9.000000,90.000000,top
"R8","10k Ohm","R_1210_3225Metric_Pad1.30x2.65mm_HandSolder",29.500000,-29.000000,-90.000000,top
"R9","16K","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",36.500000,-35.500000,0.000000,top
"R10","27K","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",30.500000,-35.500000,0.000000,top
"SW1","SW_Push","TS_button_3_4_2",7.000000,-13.500000,0.000000,top
"SW2","SW_Push","TS_button_3_4_2",35.500000,-26.000000,180.000000,top
"U1","ESP32-WROOM-32","ESP32-WROOM-32",21.155000,-15.345000,0.000000,top
"U3","LM2596T-ADJ","TO-220-5_P3.4x3.7mm_StaggerOdd_Lead3.8mm_Vertical",35.650000,-45.500000,90.000000,top
